487157,1024350,2020-07-20,9999-12-31
3012281,421361,2020-01-15,2021-09-30
1352226,227768,2020-01-15,2023-05-25
1346449,223996,2020-11-30,2022-11-30
1059285,42718,2018-09-22,2020-01-13
1150489,108507,2022-11-29,2023-04-24
683188,1305395,2022-04-06,2023-05-25
346971,793025,2025-05-24,9999-12-31
499241,1036377,2024-07-10,9999-12-31
409842,862963,2020-07-09,9999-12-31
811394,1424230,2024-03-07,9999-12-31
458426,991425,2020-12-23,2021-03-04
1217129,150697,2020-06-23,2023-05-25
276083,389488,2018-08-17,2020-04-30
1185512,130765,2020-01-16,2021-09-30
1134512,98307,2023-09-26,9999-12-31
1133360,97575,2024-07-10,9999-12-31
1026778,18251,2018-09-22,2020-01-14
1019282,12838,2022-11-30,9999-12-31
1347349,224599,2022-12-19,2025-04-10
692482,1312198,2023-05-19,9999-12-31
1102330,74311,2018-09-22,9999-12-31
384823,838183,2021-12-22,2023-04-24
199658,314814,2020-05-06,9999-12-31
3027495,433404,2020-05-14,2023-11-01
8323733,1167284,2023-04-19,9999-12-31
233799,348318,2018-09-12,2020-07-21
3066920,467852,2018-09-22,2024-10-24
1203059,141792,2023-08-22,9999-12-31
301028,419746,2020-11-13,9999-12-31
388755,842080,2022-11-30,9999-12-31
1011757,7512,2023-07-27,9999-12-31
4805489,1013932,2020-05-13,2021-09-30
118233,128748,2018-08-20,9999-12-31
1196930,137924,2018-09-28,2020-01-13
3106341,503966,2023-07-11,2023-11-29
645555,1271488,2021-11-10,2025-03-20
1004795,2727,2022-11-30,2023-04-24
461475,994471,2020-12-11,2024-10-24
156504,268775,2020-11-11,2023-04-24
1713677,286433,2022-11-30,9999-12-31
1115586,85492,2021-10-26,9999-12-31
4372301,945426,2020-06-10,2024-10-24
443330,976152,2021-01-29,2023-05-25
3716900,819623,2018-09-26,2020-01-13
1371041,241104,2020-05-14,2023-05-25
628027,1255077,2021-09-03,2023-04-24
1010526,6678,2023-02-20,2023-02-20
1143508,104018,2022-11-30,9999-12-31
3338509,709509,2021-03-26,2021-09-30
4316498,898988,2021-01-21,2024-10-24
3732735,826667,2020-01-15,2021-09-30
1320600,207774,2022-11-30,9999-12-31
3007969,417925,2022-11-30,9999-12-31
1328700,212752,2020-01-15,2022-11-30
3221226,603914,2022-11-30,2023-04-24
4408793,971385,2022-09-23,9999-12-31
1369884,240177,2023-04-27,2023-05-25
501042,1038557,2021-12-22,2023-11-01
678555,1301289,2022-04-27,9999-12-31
467083,1000071,2025-05-24,9999-12-31
241966,356118,2021-04-23,2023-04-24
750793,1363638,2023-05-09,9999-12-31
1348294,225200,2020-11-30,2021-09-30
212787,327788,2018-09-12,9999-12-31
525468,1062943,2021-01-14,9999-12-31
216493,331446,2021-03-18,2021-09-30
1711960,285500,2018-09-22,2020-01-14
3036206,440845,2018-09-24,2020-01-13
359644,805284,2020-04-09,2022-01-12
654404,1279468,2021-11-30,2023-11-01
321717,600422,2024-06-19,9999-12-31
476580,1009575,2020-06-02,2020-10-20
605795,1234115,2024-12-11,9999-12-31
425540,878520,2020-08-30,2022-05-31
4412311,973697,2020-01-29,9999-12-31
417543,870563,2020-10-29,2022-11-30
292033,405162,2024-09-26,9999-12-31
166321,278250,2020-07-15,9999-12-31
149738,262274,2019-04-30,2020-10-02
385038,838390,2020-01-13,2022-11-30
3726972,823803,2020-05-06,9999-12-31
685164,1306897,2022-04-13,9999-12-31
380194,833589,2021-12-23,2023-04-24
3258470,635966,2023-03-17,2023-04-24
4804344,1013654,2018-08-20,9999-12-31
1311666,202476,2019-02-14,2022-11-30
3091609,490271,2018-09-22,9999-12-31
1328145,212401,2018-09-22,2020-01-13
1009265,5829,2022-11-29,2022-11-30
3218634,601703,2020-01-15,2021-09-30
536117,1073643,2022-03-11,9999-12-31
3333160,704515,2023-04-19,2024-11-06
3173942,562891,2022-11-30,2023-11-01
1279359,184329,2021-12-21,2023-04-24
112316,91452,2018-08-17,9999-12-31
331324,685531,2020-05-05,2021-09-30
3241089,620883,2020-09-09,2022-02-04
1307867,200209,2022-11-30,9999-12-31
403664,856863,2020-05-06,2021-07-14
1367433,238204,2018-09-22,2020-01-13
454841,987843,2020-11-20,2022-06-30
398836,852084,2020-01-15,9999-12-31
1365162,236529,2018-09-22,9999-12-31
430812,890300,2021-03-31,2023-05-25
191964,307239,2018-08-20,2023-04-24
1377622,246397,2021-05-31,2021-09-30
1295416,193396,2023-10-05,9999-12-31
365037,810587,2018-11-08,2020-10-02
566895,1210395,2022-04-27,2023-11-01
837439,1450218,2024-07-06,9999-12-31
100937,5905,2020-08-30,9999-12-31
3336612,707782,2021-04-29,9999-12-31
391122,844438,2019-10-29,2020-10-02
6599327,1120412,2018-09-22,2020-01-14
3047031,450137,2022-11-30,9999-12-31
6616459,1128339,2022-11-28,9999-12-31
3332243,703629,2020-01-15,2023-04-24
1291874,191515,2022-11-30,9999-12-31
808962,1421753,2024-02-05,9999-12-31
3732320,826512,2018-09-22,2020-01-13
119418,136234,2018-10-30,9999-12-31
1085720,60511,2022-11-30,2023-11-01
1371472,241418,2025-02-26,9999-12-31
818384,1431193,2024-12-20,2025-07-10
3351003,721261,2020-09-17,2023-01-09
279023,392363,2019-05-16,2019-05-20
225886,340657,2019-10-30,2020-04-29
3231882,613003,2020-09-01,2023-05-25
752421,1365345,2023-03-03,2024-10-24
641590,1267828,2021-02-26,2023-05-25
189133,304484,2020-11-03,9999-12-31
522220,1059697,2021-11-24,9999-12-31
314571,538170,2024-09-26,9999-12-31
1046113,32908,2020-01-15,2022-11-30
378201,831609,2020-01-29,2020-10-02
419580,872593,2021-02-26,2021-09-30
292155,405283,2020-12-24,2023-04-24
699238,1317495,2023-10-24,2023-10-24
282233,395490,2020-07-20,9999-12-31
3197705,583887,2022-11-30,9999-12-31
1146702,106036,2022-11-30,2023-04-24
855538,1468124,2024-11-08,9999-12-31
450546,983555,2020-06-10,9999-12-31
309606,494390,2024-07-16,9999-12-31
1082292,58023,2020-01-15,2021-09-30
